="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="海南省 # date=2023",="",="-0.2579",="",="-0.2082"
="",="",="(0.1750)",="",="(0.2216)"
="湖北省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖北省 # date=2016",="",="-0.0802**",="",="-0.0875"
="",="",="(0.0406)",="",="(0.0539)"
="湖北省 # date=2017",="",="-0.0718*",="",="-0.0732*"
="",="",="(0.0431)",="",="(0.0414)"
="湖北省 # date=2018",="",="-0.0320",="",="-0.0676"
="",="",="(0.0474)",="",="(0.0502)"
="湖北省 # date=2019",="",="-0.0206",="",="-0.0860"
="",="",="(0.0533)",="",="(0.0556)"
="湖北省 # date=2020",="",="0.0062",="",="-0.0626"
="",="",="(0.0546)",="",="(0.0570)"
="湖北省 # date=2021",="",="-0.0244",="",="-0.1240**"
="",="",="(0.0573)",="",="(0.0594)"
="湖北省 # date=2022",="",="-0.0091",="",="-0.1263**"
="",="",="(0.0645)",="",="(0.0633)"
="湖北省 # date=2023",="",="0.0357",="",="-0.0595"
="",="",="(0.0687)",="",="(0.0725)"
="湖南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="湖南省 # date=2016",="",="-0.0067",="",="0.0327"
="",="",="(0.0462)",="",="(0.0467)"
="湖南省 # date=2017",="",="0.0544",="",="0.0791"
="",="",="(0.0509)",="",="(0.0508)"
="湖南省 # date=2018",="",="0.0743",="",="0.0774"
="",="",="(0.0560)",="",="(0.0507)"
="湖南省 # date=2019",="",="-0.0172",="",="-0.0013"
="",="",="(0.0598)",="",="(0.0587)"
="湖南省 # date=2020",="",="0.0102",="",="0.0178"
="",="",="(0.0636)",="",="(0.0615)"
="湖南省 # date=2021",="",="-0.1193",="",="-0.0826"
="",="",="(0.0778)",="",="(0.0718)"
="湖南省 # date=2022",="",="-0.0537",="",="-0.0415"
="",="",="(0.0716)",="",="(0.0671)"
="湖南省 # date=2023",="",="-0.0425",="",="-0.0430"
="",="",="(0.0907)",="",="(0.0833)"
="甘肃省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="甘肃省 # date=2016",="",="-0.0809",="",="-0.0683"
="",="",="(0.0728)",="",="(0.0762)"
="甘肃省 # date=2017",="",="-0.1076",="",="-0.1065*"
="",="",="(0.0666)",="",="(0.0611)"
="甘肃省 # date=2018",="",="-0.0217",="",="-0.0420"
="",="",="(0.0722)",="",="(0.0638)"
="甘肃省 # date=2019",="",="-0.0441",="",="-0.0531"
="",="",="(0.0627)",="",="(0.0645)"
="甘肃省 # date=2020",="",="0.0406",="",="0.0306"
="",="",="(0.1030)",="",="(0.1111)"
="甘肃省 # date=2021",="",="-0.0384",="",="-0.0721"
="",="",="(0.1042)",="",="(0.1033)"
="甘肃省 # date=2022",="",="-0.1045",="",="-0.1284"
="",="",="(0.1347)",="",="(0.1088)"
="甘肃省 # date=2023",="",="0.0298",="",="-0.0255"
="",="",="(0.1216)",="",="(0.1029)"
="福建省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="福建省 # date=2016",="",="-0.0108",="",="-0.0067"
="",="",="(0.0384)",="",="(0.0434)"
="福建省 # date=2017",="",="-0.0502",="",="-0.0262"
="",="",="(0.0495)",="",="(0.0475)"
="福建省 # date=2018",="",="0.0136",="",="0.0018"
="",="",="(0.0501)",="",="(0.0524)"
="福建省 # date=2019",="",="0.0054",="",="0.0010"
="",="",="(0.0583)",="",="(0.0594)"
="福建省 # date=2020",="",="0.0240",="",="0.0287"
="",="",="(0.0508)",="",="(0.0467)"
="福建省 # date=2021",="",="0.0089",="",="0.0104"
="",="",="(0.0632)",="",="(0.0637)"
="福建省 # date=2022",="",="-0.0735",="",="-0.0496"
="",="",="(0.0624)",="",="(0.0543)"
="福建省 # date=2023",="",="-0.0153",="",="-0.0262"
="",="",="(0.0581)",="",="(0.0620)"
="西藏自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="西藏自治区 # date=2016",="",="0.0753",="",="0.1745***"
="",="",="(0.0657)",="",="(0.0355)"
="西藏自治区 # date=2017",="",="0.0933",="",="0.1949"
="",="",="(0.1263)",="",="(0.1376)"
="西藏自治区 # date=2018",="",="0.1136",="",="0.1121"
="",="",="(0.1551)",="",="(0.1304)"
="西藏自治区 # date=2019",="",="0.0591",="",="0.0331"
="",="",="(0.0794)",="",="(0.0807)"
="西藏自治区 # date=2020",="",="0.1374",="",="0.0951"
="",="",="(0.1281)",="",="(0.1382)"
="西藏自治区 # date=2021",="",="0.0215",="",="-0.0369"
="",="",="(0.1368)",="",="(0.1266)"
="西藏自治区 # date=2022",="",="0.2800**",="",="0.1811"
="",="",="(0.1344)",="",="(0.1410)"
="西藏自治区 # date=2023",="",="0.3712**",="",="0.2831*"
="",="",="(0.1779)",="",="(0.1492)"
="贵州省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="贵州省 # date=2016",="",="-0.0856",="",="-0.0998"
="",="",="(0.0555)",="",="(0.0890)"
="贵州省 # date=2017",="",="-0.1129*",="",="-0.1242"
="",="",="(0.0644)",="",="(0.1091)"
="贵州省 # date=2018",="",="-0.0397",="",="-0.0059"
="",="",="(0.0568)",="",="(0.0716)"
="贵州省 # date=2019",="",="-0.0413",="",="0.0170"
