="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="",="(0.1870)",="",="(0.1270)"
="广东省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广东省 # date=2016",="",="-0.0357",="",="-0.0291"
="",="",="(0.0353)",="",="(0.0329)"
="广东省 # date=2017",="",="-0.0460",="",="-0.0754**"
="",="",="(0.0383)",="",="(0.0322)"
="广东省 # date=2018",="",="0.0074",="",="-0.0199"
="",="",="(0.0429)",="",="(0.0359)"
="广东省 # date=2019",="",="-0.0272",="",="-0.0574"
="",="",="(0.0423)",="",="(0.0373)"
="广东省 # date=2020",="",="-0.0055",="",="-0.0303"
="",="",="(0.0473)",="",="(0.0404)"
="广东省 # date=2021",="",="-0.0660",="",="-0.1088**"
="",="",="(0.0546)",="",="(0.0480)"
="广东省 # date=2022",="",="0.0049",="",="-0.0493"
="",="",="(0.0547)",="",="(0.0473)"
="广东省 # date=2023",="",="0.0292",="",="-0.0349"
="",="",="(0.0550)",="",="(0.0475)"
="广西壮族自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广西壮族自治区 # date=2016",="",="-0.0135",="",="0.0909"
="",="",="(0.0781)",="",="(0.0706)"
="广西壮族自治区 # date=2017",="",="-0.0567",="",="0.0170"
="",="",="(0.0676)",="",="(0.0715)"
="广西壮族自治区 # date=2018",="",="-0.0924",="",="-0.0458"
="",="",="(0.0882)",="",="(0.0794)"
="广西壮族自治区 # date=2019",="",="-0.1739**",="",="-0.1048"
="",="",="(0.0771)",="",="(0.0735)"
="广西壮族自治区 # date=2020",="",="-0.1491",="",="-0.0889"
="",="",="(0.1008)",="",="(0.0910)"
="广西壮族自治区 # date=2021",="",="-0.2061*",="",="-0.1229"
="",="",="(0.1073)",="",="(0.0845)"
="广西壮族自治区 # date=2022",="",="-0.1566",="",="-0.1028"
="",="",="(0.0961)",="",="(0.0860)"
="广西壮族自治区 # date=2023",="",="-0.2771**",="",="-0.1792*"
="",="",="(0.1224)",="",="(0.1027)"
="新疆维吾尔自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="新疆维吾尔自治区 # date=2016",="",="-0.1067",="",="-0.0089"
="",="",="(0.0784)",="",="(0.0632)"
="新疆维吾尔自治区 # date=2017",="",="-0.0280",="",="0.0388"
="",="",="(0.0933)",="",="(0.0670)"
="新疆维吾尔自治区 # date=2018",="",="-0.0619",="",="-0.0213"
="",="",="(0.0775)",="",="(0.0611)"
="新疆维吾尔自治区 # date=2019",="",="-0.1017",="",="-0.0411"
="",="",="(0.0716)",="",="(0.0537)"
="新疆维吾尔自治区 # date=2020",="",="-0.2553*",="",="-0.1743"
="",="",="(0.1462)",="",="(0.1297)"
="新疆维吾尔自治区 # date=2021",="",="-0.3503*",="",="-0.3850**"
="",="",="(0.1981)",="",="(0.1664)"
="新疆维吾尔自治区 # date=2022",="",="-0.0224",="",="-0.1474*"
="",="",="(0.1108)",="",="(0.0835)"
="新疆维吾尔自治区 # date=2023",="",="-0.0839",="",="-0.1945**"
="",="",="(0.1705)",="",="(0.0878)"
="江苏省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江苏省 # date=2016",="",="0.0098",="",="0.0262"
="",="",="(0.0407)",="",="(0.0373)"
="江苏省 # date=2017",="",="-0.0151",="",="-0.0214"
="",="",="(0.0422)",="",="(0.0359)"
="江苏省 # date=2018",="",="0.0219",="",="-0.0033"
="",="",="(0.0463)",="",="(0.0397)"
="江苏省 # date=2019",="",="0.0142",="",="-0.0018"
="",="",="(0.0461)",="",="(0.0413)"
="江苏省 # date=2020",="",="0.0153",="",="0.0025"
="",="",="(0.0499)",="",="(0.0431)"
="江苏省 # date=2021",="",="-0.0854",="",="-0.0961**"
="",="",="(0.0552)",="",="(0.0485)"
="江苏省 # date=2022",="",="-0.0578",="",="-0.0828*"
